division,district,upazila,post_office,postal_code,source_url
Barisal,Barisal,Muladi,Kazirchar EDSO,8251,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Barisal,Muladi,Muladi UPO,8250,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Barisal,Rupatali,,,
Barisal,Barisal,University,,,
Barisal,Barisal,Wazirpur,Dhamura SO,8221,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Barisal,Wazirpur,Jugirkanda SO,8222,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Barisal,Wazirpur,Sikarpur SO,8223,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Barisal,Wazirpur,Uzirpur UPO,8220,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Bhola,Bhola Sadar,Bhola HO,8300,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4
Barisal,Bhola,Bhola Sadar,Joynagar SO,8301,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4
Barisal,Bhola,Borhan Uddin,Burhanuddin UPO,8320,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4
Barisal,Bhola,Borhan Uddin,Mirza Kalu SO,8321,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4
Barisal,Bhola,Charfesson,Charfessan UPO,8340,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4
Barisal,Bhola,Charfesson,Dularhat EDSO,8341,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4
Barisal,Bhola,Charfesson,Keramatgonj EDSO,8342,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4
Barisal,Bhola,Doulatkhan,Daulatkhan UPO,8310,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4
Barisal,Bhola,Doulatkhan,Hazipur Madrasa SO,8311,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4
Barisal,Bhola,Lalmohan,Daurihat EDSO,8331,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4
Barisal,Bhola,Lalmohan,Gazaria SO,8332,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4
Barisal,Bhola,Lalmohan,Lalmohan UPo,8330,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4
Barisal,Bhola,Monpura,Hazirhat (Monpura),8360,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4
Barisal,Bhola,Tazumuddin,Hat Shasigonj (Tazimuddin),8350,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4
Barisal,Jhalakathi,Jhalakathi Sadar,Bawkati EDSO,8402,https://bdpost.gov.bd/pages/static-pages/6922df7a933eb65569e22404
Barisal,Jhalakathi,Jhalakathi Sadar,Gava EDSO,8403,https://bdpost.gov.bd/pages/static-pages/6922df7a933eb65569e22404
Barisal,Jhalakathi,Jhalakathi Sadar,Jhalakati UO,8400,https://bdpost.gov.bd/pages/static-pages/6922df7a933eb65569e22404
Barisal,Jhalakathi,Jhalakathi Sadar,Nabagram EDSO,8401,https://bdpost.gov.bd/pages/static-pages/6922df7a933eb65569e22404
Barisal,Jhalakathi,Jhalakathi Sadar,Shekherhat EDSO,8404,https://bdpost.gov.bd/pages/static-pages/6922df7a933eb65569e22404
Barisal,Jhalakathi,Kathalia,Amua SO,8431,https://bdpost.gov.bd/pages/static-pages/6922df7a933eb65569e22404
Barisal,Jhalakathi,Kathalia,Kathalia UPO,8430,https://bdpost.gov.bd/pages/static-pages/6922df7a933eb65569e22404
Barisal,Jhalakathi,Kathalia,Niamoti SO,8432,https://bdpost.gov.bd/pages/static-pages/6922df7a933eb65569e22404
Barisal,Jhalakathi,Kathalia,Shoulajalia SO,8433,https://bdpost.gov.bd/pages/static-pages/6922df7a933eb65569e22404
Barisal,Jhalakathi,Nalchity,Birkati SO,8421,https://bdpost.gov.bd/pages/static-pages/6922df7a933eb65569e22404
Barisal,Jhalakathi,Nalchity,Nalchiti UPO,8420,https://bdpost.gov.bd/pages/static-pages/6922df7a933eb65569e22404
Barisal,Jhalakathi,Rajapur,Rajapur UPO,8410,https://bdpost.gov.bd/pages/static-pages/6922df7a933eb65569e22404
Barisal,Patuakhali,Bauphal,Bangbadar SO,8621,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a74c
Barisal,Patuakhali,Bauphal,Baufal UPO,8620,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a74c
Barisal,Patuakhali,Bauphal,Birpasa SO,8622,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a74c
Barisal,Patuakhali,Bauphal,Kalaiya SO,8624,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a74c
Barisal,Patuakhali,Bauphal,Kalisari SO,8623,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a74c
