division,district,upazila,post_office,postal_code,source_serial,source_url,source_district_label_bn,source_upazila,status,resolution,note
Dhaka,Dhaka,Banani,Banani TSO,1213,12,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Banani,SOURCE_POSTCODE_CONFLICT,HELD_UNRESOLVED,Official source contains identical Banani TSO rows with conflicting postal codes 1213 and 1219; do not auto-select or overwrite.
Dhaka,Dhaka,Banani,Banani TSO,1219,14,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Banani,SOURCE_POSTCODE_CONFLICT,HELD_UNRESOLVED,Official source contains identical Banani TSO rows with conflicting postal codes 1213 and 1219; do not auto-select or overwrite.
