division,district,source_upazila,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Chattogram,Brahmanbaria,Quasba,Kasba,0.727,Ashuganj,0.429,Nabinagar,0.400
Dhaka,Madaripur,Rajair,Rajoir,0.833,Madaripur Sadar,0.400,Kalkini,0.308
Dhaka,Manikganj,Shibalaya,Shibaloy,0.824,Saturia,0.375,Singiar,0.375
Dhaka,Manikganj,Singair,Singiar,0.857,Saturia,0.429,Shibaloy,0.400
Dhaka,Munshiganj,Gazaria,Gajaria,0.857,Tongibari,0.500,Sreenagar,0.375
Dhaka,Munshiganj,Louhajong,Louhajanj,0.778,Munshiganj Sadar,0.333,Tongibari,0.333
Sylhet,Moulvibazar,Kamalgonj,Kamolganj,0.889,Rajnagar,0.471,Sreemangal,0.421
Khulna,Jashore,Bagarpara,Bagherpara,0.842,Abhaynagar,0.526,Jhikargacha,0.400
Khulna,Jashore,Chawgacha,Chougachha,0.737,Jhikargacha,0.700,Sharsha,0.500
Rangpur,Rangpur,Kaonia,Kaunia,0.833,Hajirhat,0.429,Gangachara,0.375
Chattogram,Rangamati,Jarachari,Juraichari,0.857,Baghaichari,0.727,Belaichari,0.667
Chattogram,Rangamati,Longdu,Langadu,0.769,Rangamati Sadar,0.300,Chandroghona,0.222
Chattogram,Rangamati,Marishya (Bagaichari),Baghaichari,0.710,Belaichari,0.600,Juraichari,0.600
Dhaka,Rajbari,Goalondo,Goalanda,0.750,Baliakandi,0.444,Pangsa,0.286
Rajshahi,Rajshahi,Lalitgonj,Boalia,0.533,Bagha,0.429,Kasiadanga,0.421
Chattogram,Lakshmipur,Char Alexander (Rangamati),Ramgati,0.414,Ramganj,0.276,Raipur,0.214
Chattogram,Lakshmipur,Roypur,Raipur,0.667,Lakshmipur Sadar,0.286,Ramganj,0.154
Rangpur,Lalmonirhat,Tushbhanader,Hatibandha,0.364,Lalmonirhat Sadar,0.357,Aditmari,0.300
Dhaka,Shariatpur,Demuday,Damudya,0.714,Bhedarganj,0.353,Shariatpur Sadar,0.273
Dhaka,Shariatpur,Jangira,Zajira,0.615,Gosairhat,0.500,Naria,0.500
Mymensingh,Sherpur,Bakshigonj,Jhenaigati,0.400,Nalitabari,0.300,Sherpur Sadar,0.273
Mymensingh,Sherpur,Nakla,Nokla,0.800,Nalitabari,0.533,Jhenaigati,0.400
Khulna,Satkhira,Ashashuni,Assasuni,0.824,Shyamnagar,0.421,Kaliganj,0.353
Khulna,Satkhira,Kolaroa,Kalaroa,0.857,Kaliganj,0.400,Tala,0.364
Rajshahi,Sirajganj,Dhangarha (Roygonj),Raigonj,0.435,Salanga,0.348,Chauhali,0.333
Sylhet,Sylhet,Jakigonj,Zakiganj,0.875,Companiganj,0.632,Balaganj,0.625
Sylhet,Sunamganj,Dirai Chandpur (Dirai),Jagannathpur,0.400,Tahirpur,0.385,Derai,0.348
Sylhet,Sunamganj,Duara Bazar,Dowarabazar,0.857,Dharmapasha,0.571,Derai,0.400
Sylhet,Sunamganj,Jaganhpur,Jagannathpur,0.857,Tahirpur,0.588,Jamalganj,0.556
Sylhet,Habiganj,Kalauk,Lakhai,0.500,Madhabpur,0.400,Bahubal,0.308
