division,district,source_upazila,classification,proposed_upazila,reason,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Dhaka,Narayanganj,Rupgonj,safe_candidate,Rupganj,normalized_alias,Rupganj,1.000,Siddhirganj,0.556,Sonargaon,0.500
Dhaka,Narayanganj,Siddirgonj,safe_candidate,Siddhirganj,second_pass_similarity:0.952;margin:0.364,Siddhirganj,0.952,Rupganj,0.588,Sonargaon,0.526
Rangpur,Nilphamari,Kishoregonj,safe_candidate,Kishorganj,second_pass_similarity:0.952;margin:0.702,Kishorganj,0.952,Dimla,0.250,Domar,0.250
Mymensingh,Netrokona,Dharampasa,manual_review,,,Purbadhala,0.400,Atpara,0.375,Barhatta,0.333
Mymensingh,Netrokona,Dhobaura,manual_review,,,Barhatta,0.500,Durgapur,0.500,Khaliajuri,0.444
Mymensingh,Netrokona,Madhya Nagar,manual_review,,,Madan,0.625,Kalmakanda,0.476,Purbadhala,0.476
Mymensingh,Netrokona,Susang,manual_review,,,Madan,0.364,Kendua,0.333,Durgapur,0.286
Chattogram,Noakhali,Bashurhat (Companigonj),safe_candidate,Companiganj,parenthetical_high_confidence,Companiganj,0.710,Begumganj,0.483,Kabirhat,0.357
Chattogram,Noakhali,Hatya,manual_review,,,Hatia,0.800,Chatkhil,0.462,Kabirhat,0.462
Chattogram,Noakhali,Senbagh,manual_review,,,Senbug,0.769,Subarnachar,0.444,Sonaimori,0.375
Rangpur,Panchagarh,Chotodab (Atwar),safe_candidate,Atwari,parenthetical_high_confidence,Atwari,0.526,Panchagarh Sadar,0.357,Boda,0.353
Rangpur,Panchagarh,Debigonj,safe_candidate,Debiganj,normalized_alias,Debiganj,1.000,Tetulia,0.400,Boda,0.333
Barisal,Patuakhali,Baufal,manual_review,,,Bauphal,0.769,Rangabali,0.400,Patuakhali Sadar,0.381
Barisal,Patuakhali,Khepupara,manual_review,,,Kalapara,0.588,Bauphal,0.375,Galachipa,0.333
Barisal,Patuakhali,Subidhakhali (Mirzagonj),safe_candidate,Mirzaganj,parenthetical_high_confidence,Mirzaganj,0.600,Patuakhali Sadar,0.444,Dashmina,0.345
Rajshahi,Pabna,Ban Wari Nagar (Farifpur),safe_candidate,Faridpur,parenthetical_high_confidence,Faridpur,0.500,Aminpur,0.444,Bhangura,0.429
Rajshahi,Pabna,Bhangora,manual_review,,,Bhangura,0.875,Atghoria,0.500,Bera,0.500
Rajshahi,Pabna,Debattar (Afgaria),manual_review,,,Atghoria,0.522,Sujanagar,0.417,Santhia,0.364
Rajshahi,Pabna,Iswardi,manual_review,,,Ishurdi,0.714,Faridpur,0.400,Sujanagar,0.375
Barisal,Pirojpur,Banaripara,manual_review,,,Bhandaria,0.737,Nazirpur,0.556,Zianagar,0.556
Barisal,Pirojpur,Kaukhali,manual_review,,,Kawkhali,0.875,Mathbaria,0.471,Bhandaria,0.353
Barisal,Pirojpur,Swarupkati,manual_review,,,Indurkani,0.421,Nesarabad,0.421,Kawkhali,0.333
Rajshahi,Bogura,Dunat,manual_review,,,Dhunot,0.727,Dupchanchia,0.500,Sonatala,0.462
Rajshahi,Bogura,Gabtoli,manual_review,,,Gabtali,0.857,Sonatala,0.400,Kahaloo,0.286
Rajshahi,Bogura,Kahalu,manual_review,,,Kahaloo,0.769,Shajahanpur,0.471,Gabtali,0.462
Rajshahi,Bogura,Shibgonj,safe_candidate,Shibganj,normalized_alias,Shibganj,1.000,Shariakandi,0.526,Shajahanpur,0.421
Rajshahi,Bogura,Sonatola,manual_review,,,Sonatala,0.875,Gabtali,0.400,Nondigram,0.353
Barisal,Barisal,Babugonj,safe_candidate,Babuganj,normalized_alias,Babuganj,1.000,Bakerganj,0.706,Agailjhara,0.444
Barisal,Barisal,Barjalia (Hijla),manual_review,,,Barisal Sadar,0.560,Hizla,0.444,Banaripara,0.435
