division,district,source_upazila,raw_row_count,coded_row_count,post_office_samples,postal_code_samples,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Rajshahi,Naogaon,Ahsangonj (Atral),2,2,Ahsangonj (Atral) UPO | Bandai Khara SO,6596 | 6597,Raninagar,0.435,Atrai,0.421,Naogaon Sadar,0.385
Rajshahi,Naogaon,Mahadebpur,1,1,Mahadebpur UPO,6530,Mohadevpur,0.800,Niamatpur,0.526,Sapahar,0.471
Rajshahi,Naogaon,Nitpur (Pursa),3,3,Nitpur (Pursa) UPO | Pursa EDSO | Ganguria EDSO,6550 | 6551 | 6552,Niamatpur,0.600,Porsha,0.471,Patnitala,0.400
Dhaka,Narsingdi,Narandi,5,0,Kahetergaon | Boro Mirzapur Bazar | Borochapa | Krishnapur | Hafizpur,,Monohardi,0.625,Narsingdi Sadar,0.571,Raipura,0.429
Dhaka,Narayanganj,Fatulla,9,2,Fatulla UPO | Jalkuri | Vuighar | Fatulla Bazar SO | Dapa Idrikpur | Kutubpur | Anayetnagar | Char Baktabali,1420 | 1421,Fotullah,0.800,Bandar,0.308,Araihazar,0.250
Mymensingh,Netrokona,Dharampasa,11,1,Dharampasa UPO | Uttorbir | Deola | Badshgonj | Joysree | Rajapur | Paikurati | Golokpur,2450,Purbadhala,0.400,Atpara,0.375,Barhatta,0.333
Mymensingh,Netrokona,Dhobaura,4,2,Dhobaura UPO | Munshirhat | Goatola | Sakuai EDSO,2416 | 2417,Barhatta,0.500,Durgapur,0.500,Khaliajuri,0.444
Mymensingh,Netrokona,Madhya Nagar,7,1,Madhya Nagar UPO | Southpara | Chamardani | Bongshikunda | Farokh Nagar | Abid Nagar | Kartikpur,2456,Madan,0.625,Kalmakanda,0.476,Purbadhala,0.476
Mymensingh,Netrokona,Susang,2,1,Susang UPO | Ketta,2420,Madan,0.364,Kendua,0.333,Durgapur,0.286
Chattogram,Noakhali,Hatya,4,4,Hatya UPO | Afazia Bazar SO | Tamaraddi SO | Chowrangi Bazar SO,3890 | 3891 | 3892 | 3893,Hatia,0.800,Chatkhil,0.462,Kabirhat,0.462
Chattogram,Noakhali,Senbagh,6,6,Senbagh UPO | Kalyandi EDSO | Bijbag SO | Kankirhat EDSO | Chhatterpalya SO | TP Lemua SO,3860 | 3861 | 3862 | 3863 | 3864 | 3865,Senbug,0.769,Subarnachar,0.444,Sonaimori,0.375
Barisal,Patuakhali,Baufal,5,5,Baufal UPO | Bangbadar SO | Birpasa SO | Kalisari SO | Kalaiya SO,8620 | 8621 | 8622 | 8623 | 8624,Bauphal,0.769,Rangabali,0.400,Patuakhali Sadar,0.381
