district_label_bn,division,district,source_upazila,match_type,matched_upazila,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Chilmari,exact,Chilmari,Chilmari,1.000,Phulbari,0.625,Rowmari,0.533
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Fulbari,review,,Phulbari,0.800,Chilmari,0.533,Ulipur,0.462
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Nageswari,review,,Nageshwari,0.947,Rowmari,0.500,Bhurungamari,0.476
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Rajarhat,exact,Rajarhat,Rajarhat,1.000,Rowmari,0.400,Charrajibpur,0.400
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Rajibpur,review,,Charrajibpur,0.800,Ulipur,0.571,Rajarhat,0.500
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Roumari,review,,Rowmari,0.857,Bhurungamari,0.632,Phulbari,0.533
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Sadar,review,,Kurigram Sadar,0.556,Rajarhat,0.462,Nageshwari,0.400
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Ulipur,exact,Ulipur,Ulipur,1.000,Charrajibpur,0.444,Phulbari,0.429
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Diginala,review,,Dighinala,0.941,Guimara,0.400,Matiranga,0.353
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Lakshmi Chari,review,,Laxmichhari,0.783,Manikchari,0.636,Panchari,0.600
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Mahal Chari,review,,Mohalchari,0.900,Manikchari,0.700,Panchari,0.667
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Manikchari,exact,Manikchari,Manikchari,1.000,Panchari,0.778,Mohalchari,0.700
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Matiranga,exact,Matiranga,Matiranga,1.000,Ramgarh,0.500,Guimara,0.500
