district_label_bn,division,district,source_upazila,match_type,matched_upazila,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Shantinagar,review,,Sher-E-Bangla Nagar,0.667,Bhatara,0.556,Shahbagh,0.526
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Tejgaon,exact,Tejgaon,Tejgaon,1.000,Tejgaon Ind. Area,0.667,Khilgaon,0.533
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Uttara,review,,Uttar Khan,0.800,Uttara Purba,0.706,Uttara Paschim,0.632
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Banla Hili (Hakimpur),parenthetical,Hakimpur,Hakimpur,0.640,Birampur,0.480,Parbatipur,0.444
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Biral,review,,Birol,0.800,Birganj,0.667,Birampur,0.615
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Birampur,exact,Birampur,Birampur,1.000,Hakimpur,0.625,Parbatipur,0.556
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Birgonj,review,,Birganj,0.857,Birol,0.667,Nawabganj,0.500
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Chirir Bandar,normalized,Chirirbandar,Chirirbandar,1.000,Dinajpur Sadar,0.480,Birganj,0.421
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Fulbari,exact,Fulbari,Fulbari,1.000,Parbatipur,0.353,Chirirbandar,0.316
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Khansama,exact,Khansama,Khansama,1.000,Kaharol,0.400,Chirirbandar,0.400
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Maharajgonj (Kaharul),review,,Kaharol,0.480,Nawabganj,0.370,Bochaganj,0.370
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Nababgonj,review,,Nawabganj,0.778,Bochaganj,0.444,Kaharol,0.375
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Osmanpur (Ghoraghat),parenthetical,Ghoraghat,Ghoraghat,0.692,Dinajpur Sadar,0.333,Hakimpur,0.320
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Parbatipur,exact,Parbatipur,Parbatipur,1.000,Hakimpur,0.556,Birampur,0.444
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Sadar,review,,Dinajpur Sadar,0.556,Kaharol,0.500,Chirirbandar,0.471
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Setabgonj,review,,Nawabganj,0.556,Bochaganj,0.444,Birganj,0.375
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Ahsangonj (Atral),review,,Raninagar,0.435,Atrai,0.421,Naogaon Sadar,0.385
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Badalgachi,exact,Badalgachi,Badalgachi,1.000,Raninagar,0.421,Patnitala,0.421
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Dhamuirhat,review,,Dhamoirhat,0.900,Niamatpur,0.421,Mohadevpur,0.400
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Mahadebpur,review,,Mohadevpur,0.800,Niamatpur,0.526,Sapahar,0.471
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Niamatpur,exact,Niamatpur,Niamatpur,1.000,Raninagar,0.556,Patnitala,0.444
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Nitpur (Pursa),review,,Niamatpur,0.600,Porsha,0.471,Patnitala,0.400
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Patmitala,review,,Patnitala,0.889,Raninagar,0.444,Atrai,0.429
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Prasadpur (Manda),parenthetical,Manda,Manda,0.526,Niamatpur,0.435,Mohadevpur,0.417
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Raninagar,exact,Raninagar,Raninagar,1.000,Patnitala,0.556,Niamatpur,0.556
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Sadar,review,,Sapahar,0.667,Manda,0.600,Naogaon Sadar,0.588
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Sapahar,exact,Sapahar,Sapahar,1.000,Raninagar,0.500,Porsha,0.462
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Belabo,exact,Belabo,Belabo,1.000,Palash,0.333,Shibpur,0.154
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Monohardi,exact,Monohardi,Monohardi,1.000,Narsingdi Sadar,0.435,Shibpur,0.250
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Narandi,review,,Monohardi,0.625,Narsingdi Sadar,0.571,Raipura,0.429
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Palash,exact,Palash,Palash,1.000,Belabo,0.333,Shibpur,0.308
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Raipura,exact,Raipura,Raipura,1.000,Shibpur,0.571,Palash,0.308
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Sadar,review,,Narsingdi Sadar,0.526,Shibpur,0.333,Raipura,0.333
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Shibpur,exact,Shibpur,Shibpur,1.000,Raipura,0.571,Palash,0.308
নাটোর পোস্ট কোড,Rajshahi,Natore,Gopalpur (Lalpur),parenthetical,Lalpur,Lalpur,0.600,Gurudaspur,0.417,Bagatipara,0.417
নাটোর পোস্ট কোড,Rajshahi,Natore,Harua (Baraigram),parenthetical,Baraigram,Baraigram,0.783,Bagatipara,0.417,Singra,0.400
নাটোর পোস্ট কোড,Rajshahi,Natore,Hatgurudaspur (Gurudaspur),parenthetical,Gurudaspur,Gurudaspur,0.606,Natore Sadar,0.353,Naldanga,0.323
নাটোর পোস্ট কোড,Rajshahi,Natore,Lakkanhati (Bagatipara),parenthetical,Bagatipara,Bagatipara,0.667,Natore Sadar,0.387,Naldanga,0.357
নাটোর পোস্ট কোড,Rajshahi,Natore,Sadar,review,,Natore Sadar,0.625,Naldanga,0.462,Gurudaspur,0.400
নাটোর পোস্ট কোড,Rajshahi,Natore,Singrha,review,,Singra,0.923,Baraigram,0.500,Naldanga,0.400
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Arhaihazar,review,,Araihazar,0.947,Narayanganj Sadar,0.462,Sonargaon,0.316
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Bandar,exact,Bandar,Bandar,1.000,Narayanganj Sadar,0.455,Sonargaon,0.400
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Fatulla,review,,Fotullah,0.800,Bandar,0.308,Sonargaon,0.250
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Rupgonj,review,,Rupganj,0.857,Siddhirganj,0.444,Narayanganj Sadar,0.348
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Sadar,review,,Bandar,0.727,Narayanganj Sadar,0.476,Sonargaon,0.429
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Siddirgonj,review,,Siddhirganj,0.857,Sonargaon,0.526,Rupganj,0.471
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Sonargaon,exact,Sonargaon,Sonargaon,1.000,Siddhirganj,0.500,Rupganj,0.500
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Dimla,exact,Dimla,Dimla,1.000,Domar,0.600,Jaldhaka,0.308
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Domar,exact,Domar,Domar,1.000,Dimla,0.600,Syedpur,0.333
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Jaldhaka,exact,Jaldhaka,Jaldhaka,1.000,Nilphamari Sadar,0.348,Domar,0.154
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Kishoregonj,review,,Kishorganj,0.857,Domar,0.250,Nilphamari Sadar,0.231
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Sadar,review,,Domar,0.600,Syedpur,0.500,Nilphamari Sadar,0.500
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Sayedpur,review,,Syedpur,0.933,Nilphamari Sadar,0.348,Domar,0.308
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Atpara,exact,Atpara,Atpara,1.000,Durgapur,0.429,Barhatta,0.429
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Barhatta,exact,Barhatta,Barhatta,1.000,Purbadhala,0.556,Atpara,0.429
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Dharampasa,review,,Purbadhala,0.400,Atpara,0.375,Netrokona Sadar,0.333
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Dhobaura,review,,Durgapur,0.500,Barhatta,0.500,Purbadhala,0.444
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Kamakanda,review,,Kalmakanda,0.947,Madan,0.571,Kendua,0.533
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Kendua,exact,Kendua,Kendua,1.000,Kalmakanda,0.500,Durgapur,0.429
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Khaliajuri,exact,Khaliajuri,Khaliajuri,1.000,Purbadhala,0.400,Kalmakanda,0.400
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Madan,exact,Madan,Madan,1.000,Kalmakanda,0.533,Purbadhala,0.400
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Madhya Nagar,review,,Madan,0.625,Purbadhala,0.476,Kalmakanda,0.476
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Mohangonj,review,,Mohongonj,0.889,Madan,0.429,Khaliajuri,0.316
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Purbadhala,exact,Purbadhala,Purbadhala,1.000,Barhatta,0.556,Madan,0.400
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Sadar,review,,Madan,0.600,Atpara,0.545,Netrokona Sadar,0.526
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Susang,review,,Madan,0.364,Kendua,0.333,Durgapur,0.286
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali,Bashurhat (Companigonj),review,,Companiganj,0.645,Begumganj,0.414,Kabirhat,0.357
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali,Begumgonj,review,,Begumganj,0.889,Companiganj,0.300,Senbug,0.267
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali,Chatkhil,exact,Chatkhil,Chatkhil,1.000,Hatia,0.615,Kabirhat,0.375
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali,Hatya,review,,Hatia,0.800,Kabirhat,0.462,Chatkhil,0.462
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali,Sadar,review,,Noakhali Sadar,0.556,Sonaimori,0.429,Hatia,0.400
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali,Senbagh,review,,Senbug,0.769,Subarnachar,0.444,Sonaimori,0.375
নড়াইল পোস্ট কোড,Khulna,Narail,Kalia,exact,Kalia,Kalia,1.000,Narail Sadar,0.375,Lohagara,0.308
নড়াইল পোস্ট কোড,Khulna,Narail,Lakshmipasa (Lohagara),parenthetical,Lohagara,Lohagara,0.593,Kalia,0.333,Narail Sadar,0.200
নড়াইল পোস্ট কোড,Khulna,Narail,Sadar,review,,Narail Sadar,0.625,Lohagara,0.462,Kalia,0.400
পঞ্চগড় পোস্ট কোড,Rangpur,Panchagarh,Boda,exact,Boda,Boda,1.000,Debiganj,0.333,Panchagarh Sadar,0.211
পঞ্চগড় পোস্ট কোড,Rangpur,Panchagarh,Chotodab (Atwar),review,,Atwari,0.526,Panchagarh Sadar,0.357,Boda,0.353
পঞ্চগড় পোস্ট কোড,Rangpur,Panchagarh,Debigonj,review,,Debiganj,0.875,Tetulia,0.267,Boda,0.167
পঞ্চগড় পোস্ট কোড,Rangpur,Panchagarh,Sadar,review,,Atwari,0.545,Panchagarh Sadar,0.500,Boda,0.444
পঞ্চগড় পোস্ট কোড,Rangpur,Panchagarh,Tetulia,exact,Tetulia,Tetulia,1.000,Debiganj,0.400,Atwari,0.308
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali,Baufal,review,,Bauphal,0.769,Rangabali,0.400,Patuakhali Sadar,0.381
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali,Dasmina,review,,Dashmina,0.933,Dumki,0.500,Mirzaganj,0.375
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali,Golachipa,review,,Galachipa,0.889,Kalapara,0.471,Dashmina,0.471
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali,Khepupara,review,,Kalapara,0.588,Bauphal,0.375,Patuakhali Sadar,0.333
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali,Sadar,review,,Patuakhali Sadar,0.500,Kalapara,0.462,Bauphal,0.333
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali,Subidhakhali (Mirzagonj),review,,Mirzaganj,0.533,Patuakhali Sadar,0.444,Kalapara,0.345
পাবনা পোস্ট কোড,Rajshahi,Pabna,Ban Wari Nagar (Farifpur),review,,Faridpur,0.500,Aminpur,0.444,Bhangura,0.429
পাবনা পোস্ট কোড,Rajshahi,Pabna,Bera,exact,Bera,Bera,1.000,Bhangura,0.500,Atghoria,0.333
পাবনা পোস্ট কোড,Rajshahi,Pabna,Bhangora,review,,Bhangura,0.875,Bera,0.500,Atghoria,0.500
পাবনা পোস্ট কোড,Rajshahi,Pabna,Chat Mohar,normalized,Chatmohar,Chatmohar,1.000,Atghoria,0.471,Aminpur,0.375
পাবনা পোস্ট কোড,Rajshahi,Pabna,Debattar (Afgaria),review,,Atghoria,0.522,Sujanagar,0.417,Santhia,0.364
পাবনা পোস্ট কোড,Rajshahi,Pabna,Iswardi,review,,Ishurdi,0.714,Faridpur,0.400,Sujanagar,0.375
পাবনা পোস্ট কোড,Rajshahi,Pabna,Sadar,review,,Pabna Sadar,0.667,Sujanagar,0.571,Santhia,0.500
পাবনা পোস্ট কোড,Rajshahi,Pabna,Santhia,exact,Santhia,Santhia,1.000,Atghoria,0.667,Ataikula,0.533
পাবনা পোস্ট কোড,Rajshahi,Pabna,Sujanagar,exact,Sujanagar,Sujanagar,1.000,Pabna Sadar,0.526,Santhia,0.500
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Banaripara,review,,Bhandaria,0.737,Zianagar,0.556,Nazirpur,0.556
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Bhanderia,review,,Bhandaria,0.889,Mathbaria,0.556,Zianagar,0.353
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Kaukhali,review,,Kawkhali,0.875,Mathbaria,0.471,Indurkani,0.353
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Mathbaria,exact,Mathbaria,Mathbaria,1.000,Bhandaria,0.556,Kawkhali,0.471
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Nazirpur,exact,Nazirpur,Nazirpur,1.000,Pirojpur Sadar,0.476,Zianagar,0.375
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Sadar,review,,Bhandaria,0.571,Pirojpur Sadar,0.556,Zianagar,0.462
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Swarupkati,review,,Nesarabad,0.421,Indurkani,0.421,Nazirpur,0.333
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Alfadanga,exact,Alfadanga,Alfadanga,1.000,Bhanga,0.533,Charbhadrasan,0.455
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Bhanga,exact,Bhanga,Bhanga,1.000,Alfadanga,0.533,Boalmari,0.429
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Boalmari,exact,Boalmari,Boalmari,1.000,Saltha,0.429,Bhanga,0.429
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Char Bhadrasan,normalized,Charbhadrasan,Charbhadrasan,1.000,Alfadanga,0.455,Bhanga,0.421
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Madhukhali,exact,Madhukhali,Madhukhali,1.000,Saltha,0.375,Sadarpur,0.333
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Nagarkanda,exact,Nagarkanda,Nagarkanda,1.000,Faridpur Sadar,0.435,Bhanga,0.375
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Sadar,review,,Sadarpur,0.769,Faridpur Sadar,0.556,Saltha,0.545
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Sadarpur,exact,Sadarpur,Sadarpur,1.000,Faridpur Sadar,0.476,Saltha,0.429
ফেণী পোস্ট কোড,Chattogram,Feni,Chhagal Naiya,normalized,Chhagalnaiya,Chhagalnaiya,1.000,Daganbhuiyan,0.583,Sonagazi,0.400
ফেণী পোস্ট কোড,Chattogram,Feni,Dagon Bhuiyan,review,,Daganbhuiyan,0.917,Chhagalnaiya,0.500,Parshuram,0.381
ফেণী পোস্ট কোড,Chattogram,Feni,Parshuram,exact,Parshuram,Parshuram,1.000,Daganbhuiyan,0.381,Sonagazi,0.235
ফেণী পোস্ট কোড,Chattogram,Feni,Sadar,review,,Feni Sadar,0.714,Sonagazi,0.462,Parshuram,0.286
ফেণী পোস্ট কোড,Chattogram,Feni,Sonagazi,exact,Sonagazi,Sonagazi,1.000,Fulgazi,0.533,Daganbhuiyan,0.400
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Adam Dighi,normalized,Adamdighi,Adamdighi,1.000,Shariakandi,0.400,Gabtali,0.375
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Dunat,review,,Dhunot,0.727,Dupchanchia,0.500,Sonatala,0.462
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Dupchachia,review,,Dupchanchia,0.952,Adamdighi,0.421,Shariakandi,0.381
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Gabtoli,review,,Gabtali,0.857,Sonatala,0.400,Kahaloo,0.286
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Kahalu,review,,Kahaloo,0.769,Shajahanpur,0.471,Gabtali,0.462
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Nandigram,review,,Nondigram,0.889,Adamdighi,0.444,Shariakandi,0.400
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Sadar,review,,Bogra Sadar,0.667,Shajahanpur,0.500,Sonatala,0.462
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Saria Kandi,review,,Shariakandi,0.952,Shajahanpur,0.476,Sonatala,0.444
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Sherpur,exact,Sherpur,Sherpur,1.000,Shajahanpur,0.556,Shariakandi,0.333
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Shibgonj,review,,Shibganj,0.875,Shariakandi,0.421,Sonatala,0.375
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Sonatola,review,,Sonatala,0.875,Gabtali,0.400,Nondigram,0.353
বরগুণা পোস্ট কোড,Barisal,Barguna,Amtali,exact,Amtali,Amtali,1.000,Taltali,0.769,Bamna,0.545
বরগুণা পোস্ট কোড,Barisal,Barguna,Bamna,exact,Bamna,Bamna,1.000,Amtali,0.545,Barguna Sadar,0.471
বরগুণা পোস্ট কোড,Barisal,Barguna,Betagi,exact,Betagi,Betagi,1.000,Amtali,0.500,Taltali,0.462
বরগুণা পোস্ট কোড,Barisal,Barguna,Patharghata,review,,Pathorghata,0.909,Barguna Sadar,0.435,Amtali,0.353
বরগুণা পোস্ট কোড,Barisal,Barguna,Sadar,review,,Barguna Sadar,0.588,Bamna,0.400,Amtali,0.364
বরিশাল পোস্ট কোড,Barisal,Barisal,Agailjara,review,,Agailjhara,0.947,Banaripara,0.632,Babuganj,0.471
বরিশাল পোস্ট কোড,Barisal,Barisal,Babugonj,review,,Babuganj,0.875,Bakerganj,0.588,Bandar,0.429
বরিশাল পোস্ট কোড,Barisal,Barisal,Barjalia (Hijla),review,,Barisal Sadar,0.560,Hizla,0.444,Banaripara,0.435
বরিশাল পোস্ট কোড,Barisal,Barisal,Gour Nadi,normalized,Gournadi,Gournadi,1.000,Muladi,0.571,Char Monai,0.471
বরিশাল পোস্ট কোড,Barisal,Barisal,Mehendigonj,review,,Mehendiganj,0.909,Bakerganj,0.400,Muladi,0.353
বরিশাল পোস্ট কোড,Barisal,Barisal,Muladi,exact,Muladi,Muladi,1.000,Gournadi,0.571,Rupatali,0.429
বরিশাল পোস্ট কোড,Barisal,Barisal,Sadar,review,,Bandar,0.727,Barisal Sadar,0.588,Banaripara,0.400
বরিশাল পোস্ট কোড,Barisal,Barisal,Sahebgonj (Bakhergonj),review,,Bakerganj,0.571,Babuganj,0.370,Mehendiganj,0.333
বরিশাল পোস্ট কোড,Barisal,Barisal,Uzirpur,review,,Wazirpur,0.800,Airport,0.571,Kashipur,0.533
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Chalna Anchorange,review,,Chitalmari,0.462,Bagerhat Sadar,0.345,Sarankhola,0.308
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Chitalmari,exact,Chitalmari,Chitalmari,1.000,Bagerhat Sadar,0.435,Kachua,0.375
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Fakirhat,exact,Fakirhat,Fakirhat,1.000,Mollahat,0.500,Bagerhat Sadar,0.476
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Kachua,exact,Kachua,Kachua,1.000,Mollahat,0.429,Chitalmari,0.375
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Mollarhat,review,,Mollahat,0.941,Fakirhat,0.588,Mongla,0.533
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Morelgonj,review,,Morrelganj,0.842,Mongla,0.400,Mollahat,0.353
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Rampal,exact,Rampal,Rampal,1.000,Sarankhola,0.375,Kachua,0.333
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Rayenda (Sharankhola),review,,Sarankhola,0.714,Rampal,0.333,Bagerhat Sadar,0.323
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Sadar,review,,Bagerhat Sadar,0.556,Sarankhola,0.400,Chitalmari,0.400
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Alikadam,exact,Alikadam,Alikadam,1.000,Lama,0.500,Naikhongchhari,0.364
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Lama,exact,Lama,Lama,1.000,Ruma,0.500,Alikadam,0.500
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Naikhangchari,review,,Naikhongchhari,0.889,Rowangchhari,0.640,Thanchi,0.600
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Roangchari,review,,Rowangchhari,0.909,Naikhongchhari,0.667,Thanchi,0.588
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Ruma,exact,Ruma,Ruma,1.000,Lama,0.500,Rowangchhari,0.250
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Sadar,review,,Bandarban Sadar,0.526,Alikadam,0.462,Lama,0.444
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Thanchi,exact,Thanchi,Thanchi,1.000,Rowangchhari,0.316,Naikhongchhari,0.286
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Akhaura,exact,Akhaura,Akhaura,1.000,Bancharampur,0.526,Sarail,0.462
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Bancharampur,exact,Bancharampur,Bancharampur,1.000,Akhaura,0.526,Nabinagar,0.381
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Nabinagar,exact,Nabinagar,Nabinagar,1.000,Nasirnagar,0.842,Bijoynagar,0.737
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Nasirnagar,exact,Nasirnagar,Nasirnagar,1.000,Nabinagar,0.842,Bijoynagar,0.600
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Quasba,review,,Kasba,0.727,Ashuganj,0.429,Nabinagar,0.400
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Sadar,review,,Sarail,0.545,Nasirnagar,0.533,Akhaura,0.500
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Sarail,exact,Sarail,Sarail,1.000,Akhaura,0.462,Nasirnagar,0.375
ভোলা পোস্ট কোড,Barisal,Bhola,Burhanuddin,review,,Borhan Uddin,0.909,Tazumuddin,0.571,Doulatkhan,0.381
ভোলা পোস্ট কোড,Barisal,Bhola,Charfessan,review,,Charfesson,0.900,Lalmohan,0.333,Doulatkhan,0.300
ভোলা পোস্ট কোড,Barisal,Bhola,Daulatkhan,review,,Doulatkhan,0.900,Lalmohan,0.556,Charfesson,0.300
ভোলা পোস্ট কোড,Barisal,Bhola,Hat Shasigonj (Tazimuddin),review,,Tazumuddin,0.562,Borhan Uddin,0.485,Charfesson,0.375
ভোলা পোস্ট কোড,Barisal,Bhola,Hazirhat (Monpura),parenthetical,Monpura,Monpura,0.636,Charfesson,0.400,Borhan Uddin,0.385
ভোলা পোস্ট কোড,Barisal,Bhola,Lalmohan,exact,Lalmohan,Lalmohan,1.000,Doulatkhan,0.556,Borhan Uddin,0.421
ভোলা পোস্ট কোড,Barisal,Bhola,Sadar,review,,Bhola Sadar,0.667,Lalmohan,0.308,Tazumuddin,0.267
মাগুড়া পোস্ট কোড,Khulna,Magura,Arpara (Salikha),review,,Shalikha,0.667,Magura Sadar,0.500,Sreepur,0.300
মাগুড়া পোস্ট কোড,Khulna,Magura,Mohammadpur,exact,Mohammadpur,Mohammadpur,1.000,Magura Sadar,0.364,Sreepur,0.333
মাগুড়া পোস্ট কোড,Khulna,Magura,Sadar,review,,Magura Sadar,0.625,Shalikha,0.462,Mohammadpur,0.375
মাগুড়া পোস্ট কোড,Khulna,Magura,Sreepur,exact,Sreepur,Sreepur,1.000,Mohammadpur,0.333,Magura Sadar,0.222
মাদারিপুর পোস্ট কোড,Dhaka,Madaripur,Barahamgonj (Shibchar),parenthetical,Shibchar,Shibchar,0.593,Rajoir,0.400,Chashar,0.308
মাদারিপুর পোস্ট কোড,Dhaka,Madaripur,Kalkini,exact,Kalkini,Kalkini,1.000,Rajoir,0.308,Madaripur Sadar,0.190
মাদারিপুর পোস্ট কোড,Dhaka,Madaripur,Rajair,review,,Rajoir,0.833,Madaripur Sadar,0.400,Kalkini,0.308
মাদারিপুর পোস্ট কোড,Dhaka,Madaripur,Sadar,review,,Madaripur Sadar,0.526,Chashar,0.500,Shibchar,0.462
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Daulatpur,review,,Doulatpur,0.889,Harirampur,0.526,Saturia,0.500
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Ghior,review,,Gior,0.889,Singiar,0.500,Shibaloy,0.462
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Lesragonj (Harirampur),parenthetical,Harirampur,Harirampur,0.690,Saturia,0.385,Manikganj Sadar,0.364
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Sadar,review,,Manikganj Sadar,0.526,Singiar,0.500,Saturia,0.500
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Saturia,exact,Saturia,Saturia,1.000,Doulatpur,0.500,Singiar,0.429
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Shibalaya,review,,Shibaloy,0.824,Singiar,0.375,Saturia,0.375
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Singair,review,,Singiar,0.857,Saturia,0.429,Shibaloy,0.400
