division,district,source_upazila,classification,proposed_upazila,reason,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Sylhet,Moulvibazar,Sadar,safe_candidate,Moulvibazar Sadar,unique_district_sadar,Moulvibazar Sadar,0.476,Rajnagar,0.462,Sreemangal,0.400
Khulna,Jashore,Bagarpara,manual_review,,,Bagherpara,0.842,Abhaynagar,0.526,Jhikargacha,0.400
Khulna,Jashore,Chawgacha,manual_review,,,Chougachha,0.737,Jhikargacha,0.700,Sharsha,0.500
Khulna,Jashore,Jhekargacha,safe_candidate,Jhikargacha,high_similarity:0.909;margin:0.338,Jhikargacha,0.909,Chougachha,0.571,Sharsha,0.556
Khulna,Jashore,Monirampur,safe_candidate,Manirampur,high_similarity:0.900;margin:0.479,Manirampur,0.900,Keshabpur,0.421,Jashore Sadar,0.364
Khulna,Jashore,Noapara (Avay Nagar),manual_review,,,Abhaynagar,0.615,Bagherpara,0.385,Manirampur,0.308
Khulna,Jashore,Sadar,safe_candidate,Jashore Sadar,unique_district_sadar,Jashore Sadar,0.588,Sharsha,0.500,Keshabpur,0.429
Khulna,Jashore,Sarsha,safe_candidate,Sharsha,high_similarity:0.923;margin:0.452,Sharsha,0.923,Jhikargacha,0.471,Keshabpur,0.400
Rangpur,Rangpur,Kaonia,manual_review,,,Kaunia,0.833,Taragonj,0.429,Hajirhat,0.429
Rangpur,Rangpur,Pirgarcha,safe_candidate,Pirgacha,high_similarity:0.941;margin:0.353,Pirgacha,0.941,Haragach,0.588,Parshuram,0.556
Rangpur,Rangpur,Sadar,safe_candidate,Rangpur Sadar,unique_district_sadar,Rangpur Sadar,0.588,Badargonj,0.571,Gangachara,0.400
Chattogram,Rangamati,Jarachari,manual_review,,,Juraichari,0.842,Baghaichari,0.700,Naniarchar,0.632
Chattogram,Rangamati,Kalampati (Kaokhali),manual_review,,,Kawkhali,0.560,Rajasthali,0.519,Rangamati Sadar,0.516
Chattogram,Rangamati,Longdu,manual_review,,,Langadu,0.769,Rangamati Sadar,0.300,Chandroghona,0.222
Chattogram,Rangamati,Marishya (Bagaichari),manual_review,,,Baghaichari,0.690,Juraichari,0.571,Belaichari,0.571
Chattogram,Rangamati,Sadar,safe_candidate,Rangamati Sadar,unique_district_sadar,Rangamati Sadar,0.526,Sazek,0.400,Naniarchar,0.400
Dhaka,Rajbari,Goalondo,manual_review,,,Goalanda,0.750,Baliakandi,0.444,Pangsa,0.286
Dhaka,Rajbari,Pangsha,safe_candidate,Pangsa,high_similarity:0.923;margin:0.523,Pangsa,0.923,Goalanda,0.400,Kalukhali,0.375
Dhaka,Rajbari,Sadar,safe_candidate,Rajbari Sadar,unique_district_sadar,Rajbari Sadar,0.588,Goalanda,0.462,Pangsa,0.364
Rajshahi,Rajshahi,Baga,safe_candidate,Bagha,high_similarity:0.889;margin:0.162,Bagha,0.889,Bagmara,0.727,Boalia,0.600
Rajshahi,Rajshahi,Carghat,safe_candidate,Charghat,high_similarity:0.933;margin:0.266,Charghat,0.933,Bagha,0.667,Karnahar,0.533
Rajshahi,Rajshahi,Khodemohanpur(Mohanpur),manual_review,,,Mohonpur,0.483,Chandrima,0.400,Durgapur,0.345
Rajshahi,Rajshahi,Lalitgonj,manual_review,,,Boalia,0.400,Airport,0.375,Katakhali,0.333
Rajshahi,Rajshahi,Sadar,safe_candidate,Rajshahi Sadar,unique_district_sadar,Rajshahi Sadar,0.556,Kasiadanga,0.533,Rajpara,0.500
Chattogram,Lakshmipur,Char Alexander (Rangamati),manual_review,,,Ramgati,0.414,Ramganj,0.276,Raipur,0.214
Chattogram,Lakshmipur,Ramgonj,manual_review,,,Ramganj,0.857,Ramgati,0.571,Kamalnagar,0.353
Chattogram,Lakshmipur,Roypur,manual_review,,,Raipur,0.667,Lakshmipur Sadar,0.286,Ramgati,0.154
Chattogram,Lakshmipur,Sadar,safe_candidate,Lakshmipur Sadar,unique_district_sadar,Lakshmipur Sadar,0.500,Kamalnagar,0.400,Raipur,0.364
Rangpur,Lalmonirhat,Hatibanda,safe_candidate,Hatibandha,high_similarity:0.947;margin:0.467,Hatibandha,0.947,Lalmonirhat Sadar,0.480,Kaliganj,0.471
Rangpur,Lalmonirhat,Sadar,safe_candidate,Lalmonirhat Sadar,unique_district_sadar,Aditmari,0.615,Lalmonirhat Sadar,0.476,Hatibandha,0.400
Rangpur,Lalmonirhat,Tushbhanader,manual_review,,,Hatibandha,0.364,Lalmonirhat Sadar,0.357,Aditmari,0.300
Dhaka,Shariatpur,Bhedergonj,manual_review,,,Bhedarganj,0.800,Palong,0.250,Shariatpur Sadar,0.240
Dhaka,Shariatpur,Demuday,manual_review,,,Damudya,0.714,Bhedarganj,0.353,Shariatpur Sadar,0.273
Dhaka,Shariatpur,Jangira,manual_review,,,Zajira,0.615,Naria,0.500,Gosairhat,0.500
Dhaka,Shariatpur,Sadar,safe_candidate,Shariatpur Sadar,unique_district_sadar,Shariatpur Sadar,0.500,Gosairhat,0.429,Naria,0.400
Mymensingh,Sherpur,Bakshigonj,manual_review,,,Nalitabari,0.300,Jhenaigati,0.300,Sreebordi,0.211
Mymensingh,Sherpur,Jenaigati,safe_candidate,Jhenaigati,high_similarity:0.947;margin:0.421,Jhenaigati,0.947,Nalitabari,0.526,Sherpur Sadar,0.286
Mymensingh,Sherpur,Nakla,manual_review,,,Nokla,0.800,Nalitabari,0.533,Jhenaigati,0.400
Mymensingh,Sherpur,Sreebardi,safe_candidate,Sreebordi,high_similarity:0.889;margin:0.468,Sreebordi,0.889,Nalitabari,0.421,Sherpur Sadar,0.381
Mymensingh,Sherpur,sadar,safe_candidate,Sherpur Sadar,unique_district_sadar,Sherpur Sadar,0.588,Nalitabari,0.400,Sreebordi,0.286
Khulna,Satkhira,Ashashuni,manual_review,,,Assasuni,0.824,Shyamnagar,0.421,Kaliganj,0.353
Khulna,Satkhira,Kaligonj,manual_review,,,Kaliganj,0.875,Kalaroa,0.533,Tala,0.333
Khulna,Satkhira,Kolaroa,manual_review,,,Kalaroa,0.857,Kaliganj,0.400,Tala,0.364
Khulna,Satkhira,Sadar,safe_candidate,Satkhira Sadar,unique_district_sadar,Satkhira Sadar,0.556,Shyamnagar,0.533,Kalaroa,0.500
Rajshahi,Sirajganj,Dhangarha (Roygonj),manual_review,,,Raigonj,0.435,Salanga,0.348,Ullapara,0.333
Rajshahi,Sirajganj,Sadar,safe_candidate,Sirajganj Sadar,unique_district_sadar,Shahjadpur,0.533,Sirajganj Sadar,0.526,Salanga,0.500
Rajshahi,Sirajganj,Ullahpara,safe_candidate,Ullapara,high_similarity:0.941;margin:0.520,Ullapara,0.941,Shahjadpur,0.421,Kamarkhand,0.421
Sylhet,Sylhet,Balagonj,manual_review,,,Balaganj,0.875,Golapganj,0.588,Zakiganj,0.500
Sylhet,Sylhet,Companigonj Nutun Bazar (Companigonj),manual_review,,,Companiganj,0.465,Beanibazar,0.381,Osmaninagar,0.372
Sylhet,Sylhet,Fenchugonj,safe_candidate,Fenchuganj,high_similarity:0.900;margin:0.479,Fenchuganj,0.900,Golapganj,0.421,Companiganj,0.381
Sylhet,Sylhet,Goainghat,safe_candidate,Gowainghat,high_similarity:0.947;margin:0.280,Gowainghat,0.947,Kanaighat,0.667,Osmaninagar,0.600
Sylhet,Sylhet,Golapgonj,safe_candidate,Golapganj,high_similarity:0.889;margin:0.301,Golapganj,0.889,Balaganj,0.588,Zakiganj,0.471
Sylhet,Sylhet,Jaintapur,safe_candidate,Jaintiapur,high_similarity:0.947;margin:0.447,Jaintiapur,0.947,Osmaninagar,0.500,Dakshinsurma,0.476
Sylhet,Sylhet,Jakigonj,manual_review,,,Zakiganj,0.750,Companiganj,0.526,Balaganj,0.500
Sylhet,Sylhet,Sadar,safe_candidate,Sylhet Sadar,unique_district_sadar,Sylhet Sadar,0.625,Shah Paran,0.571,Osmaninagar,0.500
Sylhet,Sunamganj,Biswambarpur,safe_candidate,Bishwambarpur,high_similarity:0.960;margin:0.460,Bishwambarpur,0.960,Tahirpur,0.500,Dowarabazar,0.435
Sylhet,Sunamganj,Chatak,safe_candidate,Chhatak,high_similarity:0.923;margin:0.423,Chhatak,0.923,Shalla,0.500,Madhyanagar,0.353
Sylhet,Sunamganj,Dirai Chandpur (Dirai),manual_review,,,Jagannathpur,0.400,Tahirpur,0.385,Derai,0.348
Sylhet,Sunamganj,Duara Bazar,manual_review,,,Dowarabazar,0.857,Dharmapasha,0.571,Derai,0.400
Sylhet,Sunamganj,Ghunghiargaon (Sallah),manual_review,,,South Sunamganj,0.424,Shalla,0.400,Dharmapasha,0.400
Sylhet,Sunamganj,Jaganhpur,manual_review,,,Jagannathpur,0.857,Tahirpur,0.588,Jamalganj,0.556
Sylhet,Sunamganj,Sadar,safe_candidate,Sunamganj Sadar,unique_district_sadar,Shalla,0.545,Sunamganj Sadar,0.526,Madhyanagar,0.500
Sylhet,Sunamganj,Sanchana (Jamalgonj),manual_review,,,Jamalganj,0.615,Madhyanagar,0.429,Shalla,0.348
Sylhet,Habiganj,Azmirigonj,manual_review,,,Ajmiriganj,0.800,Nabiganj,0.556,Habiganj Sadar,0.435
Sylhet,Habiganj,Chunaraghat,safe_candidate,Chunarughat,high_similarity:0.909;margin:0.474,Chunarughat,0.909,Shayestaganj,0.435,Baniachong,0.381
Sylhet,Habiganj,Kalauk,manual_review,,,Lakhai,0.500,Madhabpur,0.400,Bahubal,0.308
Sylhet,Habiganj,Nabigonj,manual_review,,,Nabiganj,0.875,Habiganj Sadar,0.571,Ajmiriganj,0.556
Sylhet,Habiganj,Sadar,safe_candidate,Habiganj Sadar,unique_district_sadar,Madhabpur,0.571,Habiganj Sadar,0.556,Lakhai,0.364
