division,district,source_upazila,classification,proposed_upazila,reason,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Chattogram,Chattogram,Karnafhuli,safe_candidate,Karnafuli,high_similarity:0.947;margin:0.359,Karnafuli,0.947,Khulshi,0.588,Pahartali,0.526
Chattogram,Chattogram,Lohaghora,manual_review,,,Lohagara,0.824,Pahartali,0.444,Mirsharai,0.444
Chattogram,Chattogram,Mireshwarai,safe_candidate,Mirsharai,high_similarity:0.900;margin:0.400,Mirsharai,0.900,Pahartali,0.500,Halishahar,0.476
Chattogram,Chattogram,Rangunia (Dhamair),manual_review,,,Rangunia,0.696,Pahartali,0.417,Bayejid Bostami,0.414
Chattogram,Chattogram,Sadar,manual_review,,,Bandar,0.727,Sadarghat,0.714,Sitakunda,0.571
Chattogram,Chattogram,Sitakundu,safe_candidate,Sitakunda,high_similarity:0.889;margin:0.389,Sitakunda,0.889,Sandwip,0.500,Bandar,0.400
Chattogram,Chandpur,Hajigonj,manual_review,,,Hajiganj,0.875,Faridgonj,0.706,Haimchar,0.375
Chattogram,Chandpur,Matlabgonj (Matlab),manual_review,,,Matlab South,0.593,Matlab North,0.593,Faridgonj,0.400
Chattogram,Chandpur,Sadar,safe_candidate,Chandpur Sadar,unique_district_sadar,Chandpur Sadar,0.556,Haimchar,0.462,Shahrasti,0.429
Rajshahi,Chapainawabganj,Nachul,manual_review,,,Nachol,0.833,Bholahat,0.286,Gomostapur,0.250
Rajshahi,Chapainawabganj,Sadar,safe_candidate,Chapainawabganj Sadar,unique_district_sadar,Gomostapur,0.400,Chapainawabganj Sadar,0.400,Shibganj,0.308
Rajshahi,Chapainawabganj,Shibgonj,manual_review,,,Shibganj,0.875,Chapainawabganj Sadar,0.429,Nachol,0.286
Khulna,Chuadanga,Sadar,safe_candidate,Chuadanga Sadar,unique_district_sadar,Chuadanga Sadar,0.526,Damurhuda,0.429,Alamdanga,0.429
Mymensingh,Jamalpur,Madargonj,safe_candidate,Madarganj,high_similarity:0.889;margin:0.333,Madarganj,0.889,Dewangonj,0.556,Melandah,0.471
Mymensingh,Jamalpur,Sadar,safe_candidate,Jamalpur Sadar,unique_district_sadar,Madarganj,0.571,Jamalpur Sadar,0.556,Sarishabari,0.500
Rajshahi,Joypurhat,Ghoramara,manual_review,,,Joypurhat Sadar,0.348,Kalai,0.286,Khetlal,0.250
Rajshahi,Joypurhat,Khetal,safe_candidate,Khetlal,high_similarity:0.923;margin:0.378,Khetlal,0.923,Kalai,0.545,Akkelpur,0.429
Rajshahi,Joypurhat,Sadar,safe_candidate,Joypurhat Sadar,unique_district_sadar,Joypurhat Sadar,0.526,Kalai,0.400,Akkelpur,0.308
Barisal,Jhalakathi,Nalchiti,manual_review,,,Nalchity,0.875,Kathalia,0.375,Jhalakathi Sadar,0.348
Barisal,Jhalakathi,Sadar,safe_candidate,Jhalakathi Sadar,unique_district_sadar,Rajapur,0.500,Jhalakathi Sadar,0.500,Kathalia,0.308
Khulna,Jhenaidah,Court Chandpur,manual_review,,,Kotchandpur,0.833,Moheshpur,0.455,Harinakundu,0.417
Khulna,Jhenaidah,Harina Kunda,safe_candidate,Harinakundu,high_similarity:0.909;margin:0.309,Harinakundu,0.909,Shailkupa,0.600,Kotchandpur,0.364
Khulna,Jhenaidah,Maheshpur,safe_candidate,Moheshpur,high_similarity:0.889;margin:0.489,Moheshpur,0.889,Kotchandpur,0.400,Jhenaidah Sadar,0.348
Khulna,Jhenaidah,Naldanga (Kaligonj),manual_review,,,Kaliganj,0.583,Jhenaidah Sadar,0.400,Shailkupa,0.240
Khulna,Jhenaidah,Sadar,safe_candidate,Jhenaidah Sadar,unique_district_sadar,Jhenaidah Sadar,0.526,Shailkupa,0.429,Kotchandpur,0.375
Khulna,Jhenaidah,Shailakupa,safe_candidate,Shailkupa,high_similarity:0.947;margin:0.376,Shailkupa,0.947,Harinakundu,0.571,Jhenaidah Sadar,0.417
Dhaka,Tangail,Deldoar,manual_review,,,Delduar,0.857,Dhanbari,0.400,Tangail Sadar,0.316
Dhaka,Tangail,Khas Kaolia,manual_review,,,Basail,0.500,Ghatail,0.471,Kalihati,0.444
Dhaka,Tangail,Sadar,safe_candidate,Tangail Sadar,unique_district_sadar,Tangail Sadar,0.588,Delduar,0.500,Sakhipur,0.462
Dhaka,Tangail,Shakhipur,safe_candidate,Sakhipur,high_similarity:0.941;margin:0.316,Sakhipur,0.941,Bhuapur,0.625,Nagarpur,0.471
Rangpur,Thakurgaon,Jibanpur,manual_review,,,Haripur,0.533,Pirganj,0.400,Baliadangi,0.333
Rangpur,Thakurgaon,Pirgonj,manual_review,,,Pirganj,0.857,Thakurgaon Sadar,0.364,Haripur,0.286
Rangpur,Thakurgaon,Rani Shakail,safe_candidate,Ranisankail,high_similarity:0.909;margin:0.576,Ranisankail,0.909,Pirganj,0.333,Haripur,0.333
Rangpur,Thakurgaon,Sadar,safe_candidate,Thakurgaon Sadar,unique_district_sadar,Thakurgaon Sadar,0.500,Baliadangi,0.400,Ranisankail,0.375
Dhaka,Dhaka,Dania,manual_review,,,Gendaria,0.615,Ramna,0.600,Dhanmondi,0.571
Dhaka,Dhaka,Dhaka Sadar,manual_review,,,Chak Bazar,0.632,Savar,0.533,Dohar,0.533
Dhaka,Dhaka,Dhaka Sadr,manual_review,,,Chak Bazar,0.667,Dohar,0.571,Mohammadpur,0.500
Dhaka,Dhaka,Keranigonj,safe_candidate,Keraniganj,high_similarity:0.900;margin:0.180,Keraniganj,0.900,Keraniganj (South),0.720,Tejgaon,0.471
Dhaka,Dhaka,Kochukhet,manual_review,,,Khilkhet,0.706,Dakshinkhan,0.400,Kotwali,0.375
Dhaka,Dhaka,Kodomtoli,manual_review,,,Kadamtali,0.667,Kotwali,0.625,Dhamrai,0.375
Dhaka,Dhaka,Lalmati,manual_review,,,Lalbagh,0.571,Dhamrai,0.571,Ramna,0.500
Dhaka,Dhaka,Nawabgonj,safe_candidate,Nawabganj,high_similarity:0.889;margin:0.333,Nawabganj,0.889,Kalabagan,0.556,Adabor,0.533
Dhaka,Dhaka,Nilkhet,manual_review,,,Khilkhet,0.800,New Market,0.500,Motijheel,0.375
Dhaka,Dhaka,Shantinagar,manual_review,,,Sher-E-Bangla Nagar,0.667,Bhatara,0.556,Shahbagh,0.526
Dhaka,Dhaka,Uttara,manual_review,,,Uttar Khan,0.800,Uttara Purba,0.706,Uttara Paschim,0.632
Rangpur,Dinajpur,Biral,manual_review,,,Birol,0.800,Birganj,0.667,Birampur,0.615
Rangpur,Dinajpur,Birgonj,manual_review,,,Birganj,0.857,Birol,0.667,Nawabganj,0.500
