district_label_bn,division,district,source_upazila,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Setabgonj,Nawabganj,0.556,Bochaganj,0.444,Birganj,0.375
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Ahsangonj (Atral),Raninagar,0.435,Atrai,0.421,Naogaon Sadar,0.385
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Mahadebpur,Mohadevpur,0.800,Niamatpur,0.526,Sapahar,0.471
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Nitpur (Pursa),Niamatpur,0.600,Porsha,0.471,Patnitala,0.400
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Narandi,Monohardi,0.625,Narsingdi Sadar,0.571,Raipura,0.429
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Fatulla,Fotullah,0.800,Bandar,0.308,Sonargaon,0.250
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Rupgonj,Rupganj,0.857,Siddhirganj,0.444,Narayanganj Sadar,0.348
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Siddirgonj,Siddhirganj,0.857,Sonargaon,0.526,Rupganj,0.471
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Kishoregonj,Kishorganj,0.857,Domar,0.250,Nilphamari Sadar,0.231
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Dharampasa,Purbadhala,0.400,Atpara,0.375,Netrokona Sadar,0.333
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Dhobaura,Durgapur,0.500,Barhatta,0.500,Purbadhala,0.444
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Madhya Nagar,Madan,0.625,Purbadhala,0.476,Kalmakanda,0.476
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Susang,Madan,0.364,Kendua,0.333,Durgapur,0.286
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali,Bashurhat (Companigonj),Companiganj,0.645,Begumganj,0.414,Kabirhat,0.357
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali,Hatya,Hatia,0.800,Kabirhat,0.462,Chatkhil,0.462
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali,Senbagh,Senbug,0.769,Subarnachar,0.444,Sonaimori,0.375
পঞ্চগড় পোস্ট কোড,Rangpur,Panchagarh,Chotodab (Atwar),Atwari,0.526,Panchagarh Sadar,0.357,Boda,0.353
