division,district,upazila,post_office,postal_code
Barisal,Pirojpur,Bhandaria,Kanudaskatia EDSO,8551
Barisal,Pirojpur,Indurkani,,
Barisal,Pirojpur,Kawkhali,Joykul EDSO,8512
Barisal,Pirojpur,Kawkhali,Julagati EDSO,8513
Barisal,Pirojpur,Kawkhali,Kaukhali UPO,8510
Barisal,Pirojpur,Kawkhali,Keondia EDSO,8511
Barisal,Pirojpur,Mathbaria,Betmore Nutan Hat EDSO,8565
Barisal,Pirojpur,Mathbaria,Gulisakhali Mia SO,8563
Barisal,Pirojpur,Mathbaria,Halta EDSO,8562
Barisal,Pirojpur,Mathbaria,Mathbaria UPO,8560
Barisal,Pirojpur,Mathbaria,Silargonj EDSO,8566
Barisal,Pirojpur,Mathbaria,Tiarkahali SO,8564
Barisal,Pirojpur,Mathbaria,Tushkali SO,8561
Barisal,Pirojpur,Nazirpur,Nazirpur UPO,8540
Barisal,Pirojpur,Nazirpur,Seriamkati SO,8541
Barisal,Pirojpur,Nesarabad,Darus Sunnat SO,8521
Barisal,Pirojpur,Nesarabad,Jalabari SO,8523
Barisal,Pirojpur,Nesarabad,Kaurikhara SO,8522
Barisal,Pirojpur,Nesarabad,Swarupkati UPO,8520
Barisal,Pirojpur,Pirojpur Sadar,Hularhat SO,8501
Barisal,Pirojpur,Pirojpur Sadar,Parerhat SO,8502
Barisal,Pirojpur,Pirojpur Sadar,Pirojpur HO,8500
Barisal,Pirojpur,Zianagar,,
Chattogram,Bandarban,Alikadam,Alikadam UPO,4650
Chattogram,Bandarban,Bandarban Sadar,Bandarban HO,4600
Chattogram,Bandarban,Lama,Aziz Nagar SO,4641
Chattogram,Bandarban,Lama,Lama SO (Lama Thana Headquarters),4640
Chattogram,Bandarban,Naikhongchhari,Naikhangchari UPO,4660
Chattogram,Bandarban,Rowangchhari,Roangchari UPO,4610
Chattogram,Bandarban,Ruma,Ruma UPO,4620
Chattogram,Bandarban,Thanchi,Thanchi UPO,4630
Chattogram,Brahmanbaria,Akhaura,Akhaura UPO,3450
Chattogram,Brahmanbaria,Akhaura,Azampur EDSO,3451
Chattogram,Brahmanbaria,Akhaura,Ganga Sagor SO,3452
Chattogram,Brahmanbaria,Ashuganj,,
Chattogram,Brahmanbaria,Bancharampur,Bancharampur UPO,3420
Chattogram,Brahmanbaria,Bijoynagar,,
Chattogram,Brahmanbaria,Brahmanbaria Sadar,Ashugonj FF SO,3403
Chattogram,Brahmanbaria,Brahmanbaria Sadar,Ashugonj SO,3402
Chattogram,Brahmanbaria,Brahmanbaria Sadar,"Brah,anbaria HO",3400
Chattogram,Brahmanbaria,Brahmanbaria Sadar,Pattan EDSO,3404
Chattogram,Brahmanbaria,Brahmanbaria Sadar,Talsahar EDSO,3401
Chattogram,Brahmanbaria,Kasba,Chandiwar,3462
Chattogram,Brahmanbaria,Kasba,Chargas SO,3463
Chattogram,Brahmanbaria,Kasba,Gupinathpur SO,3464
Chattogram,Brahmanbaria,Kasba,Kuti SO,3461
Chattogram,Brahmanbaria,Kasba,Quasba UPO,3460
Chattogram,Brahmanbaria,Nabinagar,Jibongonj Bazar EDSO,3416
Chattogram,Brahmanbaria,Nabinagar,Kaitala SO,3417
Chattogram,Brahmanbaria,Nabinagar,Laur Fatepur EDSO,3411
Chattogram,Brahmanbaria,Nabinagar,Nabinagar UPO,3410
Chattogram,Brahmanbaria,Nabinagar,Rasullahbad EDSO,3412
Chattogram,Brahmanbaria,Nabinagar,Ratanpur EDSO,3414
Chattogram,Brahmanbaria,Nabinagar,Salimgonj SO,3418
Chattogram,Brahmanbaria,Nabinagar,Shahapur SO,3415
Chattogram,Brahmanbaria,Nabinagar,Shyamgram SO,3413
Chattogram,Brahmanbaria,Nasirnagar,Fandauk SO,3441
Chattogram,Brahmanbaria,Nasirnagar,Nasirnagar UPO,3440
Chattogram,Brahmanbaria,Sarail,Chandura SO,3432
Chattogram,Brahmanbaria,Sarail,Sarail UPO,3430
Chattogram,Brahmanbaria,Sarail,Shahbajpur SO,3431
Chattogram,Chandpur,Chandpur Sadar,Baburhat SO,3602
Chattogram,Chandpur,Chandpur Sadar,Chandpur HO,3600
Chattogram,Chandpur,Chandpur Sadar,Puranbazar SO,3601
Chattogram,Chandpur,Chandpur Sadar,Sahatali EDSO,3603
